NBA90;10.31.161.107
NBA91;10.31.161.108
NBA92;10.31.161.109
NBA93;10.31.161.110
NBA94;10.31.161.111
NBA95;10.31.161.112
NBA96;10.31.161.113
NBA97;10.31.161.114
NBA98;10.31.161.115
NBA99;10.31.161.116
NBA100;10.31.161.117
NBA101;10.31.161.118
NBA102;10.31.161.119
NBA103;10.31.161.120
NBA104;10.31.161.121
NBA105;10.31.161.122
NBA106;10.31.161.123
NBA107;10.31.161.124
NBA108;10.31.161.125
NBA109;10.31.161.126
NBA110;10.31.161.127
NBA111;10.31.161.128
NBA112;10.31.161.129
NBA113;10.31.161.130
NBA114;10.31.161.131
NBA115;10.31.161.132
NBA116;10.31.161.133
NBA117;10.31.161.134
NBA118;10.31.161.135
NBA119;10.31.161.136
NBA120;10.31.161.137
NBA121;10.31.161.138
NBA122;10.31.161.139
NBA123;10.31.161.140
NBA124;10.31.161.141
NBA125;10.31.161.142
NBA126;10.31.161.143
NBA127;10.31.161.144
NBA128;10.31.161.145
NBA129;10.31.161.146
NBA130;10.31.161.147
NBA131;10.31.161.148
NBA132;10.31.161.149
NBA133;10.31.161.150
NBA134;10.31.161.151
NBA135;10.31.161.152
NBA136;10.31.161.153
NBA137;10.31.161.154
NBA138;10.31.161.155
NBA139;10.31.161.156
NBA140;10.31.161.157
NBA141;10.31.161.158
NBA142;10.31.161.159
NBA143;10.31.161.160
NBA144;10.31.161.161
NBA145;10.31.161.162
NBA146;10.31.161.163
NBA147;10.31.161.164
NBA148;10.31.161.165
NBA149;10.31.161.166
NBA150;10.31.161.167
NBA151;10.31.161.168
NBA152;10.31.161.169
NBA153;10.31.161.170
NBA154;10.31.161.171
NBA155;10.31.161.172
NBA156;10.31.161.173
NBA157;10.31.161.174
NBA158;10.31.161.175
NBA159;10.31.161.176
NBA160;10.31.161.177
NBA161;10.31.161.178
NBA162;10.31.161.179
NBA163;10.31.161.180
NBA164;10.31.161.181
NBA165;10.31.161.182
NBA167;10.31.161.184
NBA168;10.31.161.185
NBA169;10.31.161.186
NBA170;10.31.161.187
NBA171;10.31.161.188
NBA172;10.31.161.189
NBA173;10.31.161.190
NBA174;10.31.161.191
NBA175;10.31.161.192
NBA176;10.31.161.193
NBA177;10.31.161.194
NBA178;10.31.161.195
NBA179;10.31.161.196
NBA180;10.31.161.197
NBA181;10.31.161.198
NBA182;10.31.161.199
NBA183;10.31.161.200
NBA184;10.31.161.201
NBA185;10.31.161.202
NBA186;10.31.161.203
NBA187;10.31.161.204
NBA188;10.31.161.205
NBA189;10.31.161.206
NBA190;10.31.161.207
NBA191;10.31.161.208
NBA192;10.31.161.209
NBA193;10.31.161.210
NBA194;10.31.161.211
NBA195;10.31.161.212
NBA196;10.31.161.213
